"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","연간학생대출자료수","전년도전체학생수","연간학생대출자수","1인당대출자료수"
"전북특별자치도교육청","전북특별자치도김제교육지원청","전북특별자치도 김제시","S130000722","성덕초등학교","02","공립","N","","315","18","258","17.5"
"전북특별자치도교육청","전북특별자치도김제교육지원청","전북특별자치도 김제시","S130000726","심창초등학교","02","공립","N","","0","10","0","0"
"전북특별자치도교육청","전북특별자치도김제교육지원청","전북특별자치도 김제시","S130000727","용동초등학교","02","공립","N","","975","34","599","28.7"
"전북특별자치도교육청","전북특별자치도김제교육지원청","전북특별자치도 김제시","S130000729","용지초등학교","02","공립","N","","698","38","329","18.4"
"전북특별자치도교육청","전북특별자치도김제교육지원청","전북특별자치도 김제시","S130000730","원평초등학교","02","공립","N","","2412","82","1235","29.4"
"전북특별자치도교육청","전북특별자치도김제교육지원청","전북특별자치도 김제시","S130000732","월성초등학교","02","공립","N","","225","21","27","10.7"
"전북특별자치도교육청","전북특별자치도김제교육지원청","전북특별자치도 김제시","S130000733","월촌초등학교","02","공립","N","","0","76","0","0"
"전북특별자치도교육청","전북특별자치도김제교육지원청","전북특별자치도 김제시","S130000734","종정초등학교","02","공립","N","","473","57","375","8.3"
"전북특별자치도교육청","전북특별자치도김제교육지원청","전북특별자치도 김제시","S130000736","죽산초등학교","02","공립","N","","358","37","299","9.7"
"전북특별자치도교육청","전북특별자치도김제교육지원청","전북특별자치도 김제시","S130000737","진봉초등학교","02","공립","N","","71","10","41","7.1"
"전북특별자치도교육청","전북특별자치도김제교육지원청","전북특별자치도 김제시","S130000738","청운초등학교","02","공립","N","","73","58","47","1.3"
"전북특별자치도교육청","전북특별자치도김제교육지원청","전북특별자치도 김제시","S130000740","청하초등학교","02","공립","N","","1100","22","124","50"
"전북특별자치도교육청","전북특별자치도김제교육지원청","전북특별자치도 김제시","S130000741","초처초등학교","02","공립","N","","80","24","21","3.3"
"전북특별자치도교육청","전북특별자치도김제교육지원청","전북특별자치도 김제시","S130000742","치문초등학교","02","공립","N","","242","22","22","11"
"전북특별자치도교육청","전북특별자치도김제교육지원청","전북특별자치도 김제시","S130000743","황강초등학교","02","공립","N","","177","10","72","17.7"
"전북특별자치도교육청","전북특별자치도김제교육지원청","전북특별자치도 김제시","S130000744","황산초등학교","02","공립","N","","488","29","216","16.8"
"전북특별자치도교육청","전북특별자치도남원교육지원청","전북특별자치도 남원시","S130000805","남원교룡초등학교","02","공립","N","","850","192","460","4.4"
"전북특별자치도교육청","전북특별자치도남원교육지원청","전북특별자치도 남원시","S130000806","금지동초등학교","02","공립","N","","58","19","17","3.1"
"전북특별자치도교육청","전북특별자치도남원교육지원청","전북특별자치도 남원시","S130000807","금지초등학교","02","공립","N","","438","15","17","29.2"
"전북특별자치도교육청","전북특별자치도남원교육지원청","전북특별자치도 남원시","S130000809","남원노암초등학교","02","공립","N","","1141","227","929","5"
"전북특별자치도교육청","전북특별자치도남원교육지원청","전북특별자치도 남원시","S130000810","남원도통초등학교","02","공립","N","","7611","408","4457","18.7"
"전북특별자치도교육청","전북특별자치도남원교육지원청","전북특별자치도 남원시","S130000813","산내초등학교","02","공립","N","","0","73","0","0"
"전북특별자치도교육청","전북특별자치도남원교육지원청","전북특별자치도 남원시","S130000814","남원서원초등학교","02","공립","N","","12","49","2","0.2"
"전북특별자치도교육청","전북특별자치도남원교육지원청","전북특별자치도 남원시","S130000817","남원왕치초등학교","02","공립","N","","858","54","50","15.9"
"전북특별자치도교육청","전북특별자치도남원교육지원청","전북특별자치도 남원시","S130000818","남원월락초등학교","02","공립","N","","20081","597","10546","33.6"
"전북특별자치도교육청","전북특별자치도남원교육지원청","전북특별자치도 남원시","S130000819","남원중앙초등학교","02","공립","N","","4153","275","2364","15.1"
"전북특별자치도교육청","전북특별자치도남원교육지원청","전북특별자치도 남원시","S130000820","남원초등학교","02","공립","N","","8724","431","8585","20.2"
"전북특별자치도교육청","전북특별자치도남원교육지원청","전북특별자치도 남원시","S130000822","대강초등학교","02","공립","N","","430","25","128","17.2"
"전북특별자치도교육청","전북특별자치도남원교육지원청","전북특별자치도 남원시","S130000823","남원대산초등학교","02","공립","N","","7","40","7","0.2"
"전북특별자치도교육청","전북특별자치도남원교육지원청","전북특별자치도 남원시","S130000824","덕과초등학교","02","공립","N","","204","28","150","7.3"
"전북특별자치도교육청","전북특별자치도남원교육지원청","전북특별자치도 남원시","S130000827","보절초등학교","02","공립","N","","342","21","238","16.3"
"전북특별자치도교육청","전북특별자치도남원교육지원청","전북특별자치도 남원시","S130000829","사매초등학교","02","공립","N","","0","31","0","0"
"전북특별자치도교육청","전북특별자치도남원교육지원청","전북특별자치도 남원시","S130000830","산동초등학교","02","공립","N","","55","29","29","1.9"
"전북특별자치도교육청","전북특별자치도남원교육지원청","전북특별자치도 남원시","S130000831","송동초등학교","02","공립","N","","79","27","25","2.9"
"전북특별자치도교육청","전북특별자치도남원교육지원청","전북특별자치도 남원시","S130000832","수지초등학교","02","공립","N","","150","29","29","5.2"
"전북특별자치도교육청","전북특별자치도남원교육지원청","전북특별자치도 남원시","S130000833","아영초등학교","02","공립","N","","302","51","135","5.9"
"전북특별자치도교육청","전북특별자치도남원교육지원청","전북특별자치도 남원시","S130000834","오동초등학교","02","공립","N","","0","63","0","0"
"전북특별자치도교육청","전북특별자치도남원교육지원청","전북특별자치도 남원시","S130000835","남원용성초등학교","02","공립","N","","669","184","190","3.6"
"전북특별자치도교육청","전북특별자치도남원교육지원청","전북특별자치도 남원시","S130000837","운봉초등학교","02","공립","N","","0","102","0","0"
"전북특별자치도교육청","전북특별자치도남원교육지원청","전북특별자치도 남원시","S130000840","원천초등학교","02","공립","N","","236","41","159","5.8"
"전북특별자치도교육청","전북특별자치도남원교육지원청","전북특별자치도 남원시","S130000841","이백초등학교","02","공립","N","","377","27","96","14"
"전북특별자치도교육청","전북특별자치도남원교육지원청","전북특별자치도 남원시","S130000842","인월초등학교","02","공립","N","","262","73","168","3.6"
"전북특별자치도교육청","전북특별자치도남원교육지원청","전북특별자치도 남원시","S130000845","주생초등학교","02","공립","N","","0","53","0","0"
"전북특별자치도교육청","전북특별자치도무주교육지원청","전북특별자치도 무주군","S130000893","괴목초등학교","02","공립","N","","513","44","480","11.7"
"전북특별자치도교육청","전북특별자치도무주교육지원청","전북특별자치도 무주군","S130000894","구천초등학교","02","공립","N","","131","51","51","2.6"
